,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
4,Iceland,96.45,35.45,67.13,91.4,98.82,93.98,2016
5,Denmark,84.88,30.83,58.9,69.2,97.88,142.14,2016
6,Singapore,83.67,73.88,78.97,75.83,53.75,110.5,2016
7,Luxembourg,82.01,48.87,66.08,69.16,90.33,154.4,2016
8,Kuwait,81.62,38.26,60.78,96.13,46.01,113.6,2016
9,Hong Kong,81.48,82.57,82.0,88.8,50.73,102.32,2016
10,Japan,81.25,29.75,56.5,86.9,47.45,117.55,2016
11,United Kingdom,81.03,36.29,59.53,68.48,86.68,120.0,2016
12,Australia,78.45,40.95,60.43,74.68,74.85,147.25,2016
13,New Zealand,78.17,29.71,54.88,72.06,75.37,115.47,2016
14,Ireland,78.03,37.87,58.73,66.59,82.3,125.66,2016
15,Israel,75.75,26.78,52.21,65.71,77.27,115.54,2016
16,Sweden,75.7,25.21,51.44,67.89,79.18,128.22,2016
17,Belgium,75.44,31.42,54.28,67.15,82.87,106.69,2016
18,France,75.3,26.22,51.72,69.62,73.48,118.51,2016
19,Finland,75.25,26.98,52.05,66.59,76.85,132.93,2016
20,United States,74.08,38.39,56.93,75.69,69.13,139.17,2016
21,South Korea,73.18,34.41,54.55,86.23,41.18,120.64,2016
22,Netherlands,72.12,31.76,52.72,56.11,80.73,129.34,2016
23,Qatar,69.99,74.5,72.16,59.46,69.32,141.86,2016
24,Italy,68.77,21.49,46.05,58.64,75.27,105.67,2016
25,Puerto Rico,66.73,19.7,44.13,65.94,58.71,108.26,2016
26,Austria,66.59,26.15,47.16,61.71,62.64,120.46,2016
27,United Arab Emirates,66.09,68.25,67.13,57.23,59.85,136.43,2016
28,Germany,65.54,24.01,45.58,53.12,60.68,147.61,2016
29,Canada,64.82,26.83,46.56,65.04,60.04,134.81,2016
30,Argentina,64.09,18.07,41.97,52.51,64.19,74.92,2016
31,Macao,64.06,43.47,54.17,55.85,46.43,99.42,2016
32,Ghana,63.44,53.34,58.59,59.32,51.88,18.44,2016
33,Lebanon,63.08,35.05,49.61,48.75,59.7,66.57,2016
34,Malta,61.36,20.23,41.59,51.89,66.63,82.77,2016
35,Venezuela,60.02,11.51,36.71,73.7,47.09,14.27,2016
36,Belize,59.42,11.88,36.57,51.2,38.11,146.27,2016
37,Costa Rica,57.76,16.15,37.76,56.87,46.54,67.59,2016
38,Cyprus,56.99,13.1,35.9,48.0,59.72,93.84,2016
39,Spain,56.11,18.86,38.21,46.02,56.99,105.31,2016
40,Taiwan,55.84,14.71,36.07,64.6,25.14,106.38,2016
41,Jamaica,55.7,12.56,34.97,54.12,38.73,48.83,2016
42,Trinidad And Tobago,55.67,22.45,39.71,53.8,48.58,68.21,2016
43,Uruguay,55.63,15.81,36.49,48.14,52.75,50.59,2016
44,Zimbabwe,54.51,14.59,35.32,46.0,45.37,36.42,2016
45,Greece,54.4,9.51,32.82,44.75,55.07,79.27,2016
46,Oman,53.12,24.73,39.48,47.08,43.86,148.16,2016
47,Jordan,53.08,12.04,33.35,43.75,52.38,50.89,2016
48,Palestine,52.88,9.19,31.88,49.77,38.04,53.54,2016
49,Panama,52.57,30.53,41.98,55.25,40.41,48.09,2016
50,Slovenia,52.19,14.71,34.18,42.78,42.78,89.76,2016
51,Brunei,51.93,20.2,36.68,50.61,33.04,94.3,2016
52,Myanmar,51.57,20.19,36.49,49.64,28.36,33.35,2016
53,Dominican Republic,51.38,12.07,32.49,48.0,39.33,36.44,2016
54,Iraq,50.56,17.4,34.63,42.06,45.93,57.22,2016
55,Portugal,49.83,15.28,33.23,40.58,41.56,75.47,2016
56,Tanzania,49.51,25.71,38.07,42.76,35.74,53.86,2016
57,Estonia,48.94,13.5,31.91,38.5,44.13,77.42,2016
58,Croatia,48.2,9.71,29.7,40.68,37.57,67.89,2016
59,Bahrain,48.2,33.74,41.25,44.15,48.58,101.01,2016
60,China,48.1,23.24,36.15,53.27,29.28,77.42,2016
61,Mauritius,47.89,15.12,32.14,44.1,37.22,71.93,2016
62,Honduras,47.85,9.62,29.48,44.28,33.53,70.66,2016
63,Saudi Arabia,47.6,13.78,31.35,41.81,30.0,167.86,2016
64,Cambodia,47.29,12.36,30.5,52.24,22.56,16.4,2016
65,Nigeria,47.16,22.9,35.5,42.68,35.78,48.87,2016
66,Latvia,47.14,12.67,30.57,36.25,40.45,61.46,2016
67,Lithuania,45.56,12.45,29.65,37.32,35.42,61.25,2016
68,Zambia,45.53,21.28,33.88,34.04,31.59,142.24,2016
69,Turkey,45.07,10.45,28.43,39.89,31.89,64.12,2016
70,Slovakia,45.0,14.98,30.57,40.59,31.81,68.8,2016
71,Uzbekistan,44.67,12.55,29.23,40.76,29.35,31.11,2016
72,Ecuador,44.32,12.12,28.84,43.4,27.95,47.64,2016
73,Ethiopia,44.27,21.3,33.23,38.42,24.34,20.74,2016
74,Guatemala,44.08,11.42,28.38,41.76,33.02,51.59,2016
75,Chile,43.88,13.12,29.1,38.49,36.25,78.4,2016
76,Fiji,43.82,15.49,30.2,49.54,34.12,42.37,2016
77,El Salvador,42.56,9.76,26.79,38.38,28.83,43.15,2016
78,Czech Republic,41.8,14.45,28.66,36.51,28.34,89.88,2016
79,Hungary,41.29,10.54,26.51,33.18,30.75,56.3,2016
80,Iran,41.12,16.38,29.23,38.6,35.05,47.73,2016
81,Thailand,40.02,15.18,28.08,43.8,20.22,40.06,2016
82,Kenya,39.84,12.66,26.78,37.86,29.11,31.07,2016
